id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid
53.0,192.168.1.3,192.168.1.1,udp,80.0,0.0,1740118084.92464,C7cST82DbY9BAAHyMd,48976.0,OTH,True,False,0.0,Dd,2.0,192.0,0.0,0.0,58.0,0.2799949645996094,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,80.0,0.0,1740118007.877114,C7cST82DbY9BAAHyMd,48976.0,OTH,True,False,0.0,Dd,2.0,192.0,0.0,0.0,58.0,0.2799949645996094,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,71.0,141.0,1740118085.818734,Ce2MZs2CbyuzXxOerb,36464.0,SF,True,True,0.0,Dd,1.0,99.0,1.0,169.0,17.0,0.001402139663696289,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,71.0,141.0,1740118007.877114,Ce2MZs2CbyuzXxOerb,36464.0,SF,True,True,0.0,Dd,1.0,99.0,1.0,169.0,17.0,0.001402139663696289,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,71.0,141.0,1740118083.839686,CVtVZh2Dg6NjGTqy0e,49914.0,SF,True,True,0.0,Dd,1.0,99.0,1.0,169.0,17.0,0.001402139663696289,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,71.0,141.0,1740118007.877114,CVtVZh2Dg6NjGTqy0e,49914.0,SF,True,True,0.0,Dd,1.0,99.0,1.0,169.0,17.0,0.001402139663696289,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,71.0,141.0,1740118007.877114,CVtVZh2Dg6NjGTqy0e,49914.0,SF,True,True,0.0,Dd,1.0,99.0,1.0,169.0,17.0,0.001402139663696289,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,40.126.24.149,tcp,2644.0,4579.0,1740117962.773772,CXBVLy2t1t7PQj2hZh,46726.0,RSTR,True,False,0.0,ShADadFr,11.0,3104.0,11.0,5031.0,6.0,121.08858704566956,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,52.182.143.213,tcp,2644.0,4579.0,1740118117.861561,CuHmf23WCWqCbQXXTb,35134.0,RSTR,True,False,0.0,ShADadFr,11.0,3104.0,11.0,5031.0,6.0,121.08858704566956,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,74.0,144.0,1740118107.247052,C2BpMN2y4594I7D4x1,56290.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,172.0,17.0,0.0042841434478759766,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740117959.422919,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0020170211791992188,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118067.951806,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0020170211791992188,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740117947.876753,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0020170211791992188,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118067.951806,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0020170211791992188,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118127.959023,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0020170211791992188,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118073.707875,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118067.951806,CJD3Ii1yAzXeCotkxh,49088.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118083.84197,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118127.959023,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740117947.876753,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118067.951806,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118067.951806,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.0,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118020.315197,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.01080012321472168,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118127.959023,CRFRhg4u5F7wNXufVb,35131.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.01080012321472168,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,49.0,127.0,1740118019.511816,CfRXDK3M8B6bV4ThYd,48943.0,SF,True,True,0.0,Dd,1.0,77.0,1.0,155.0,17.0,0.01080012321472168,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740117935.510574,Cn1b2AHumyGrkof5d,58487.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.003925800323486328,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740118032.414296,Cn1b2AHumyGrkof5d,58487.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.00658416748046875,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740118067.951806,Cn1b2AHumyGrkof5d,58487.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.00658416748046875,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740118067.951806,Cn1b2AHumyGrkof5d,58487.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.00658416748046875,2fe788e3cc713726,efe788e3cc713726
5353.0,fdb3:122f:e2ec:0:b3f1:a17c:ccad:cbc6,ff02::fb,udp,62.0,271.0,1740117972.010683,CQW5gD448OyN1FH5bg,5353.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.00658416748046875,2fe788e3cc713726,efe788e3cc713726
