id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid,label
443,192.168.1.3,104.98.115.154,udp,13530,4252,1740119315.526081,CMsACn3HYeRJ24Nlha,59107,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,13530,4252,1740119973.792368,CDT2OwoQNoVFmY5Te,52539,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,13530,4252,1740118295.529592,CHR5WB37Ndyo7rudOf,45178,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,13530,4252,1740118235.513216,CFhp9a30c2x0vom9ab,55025,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,13530,4252,1740119886.558568,CZLj0B3z255VqLD88a,40839,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,13530,4252,1740119855.508725,Cdy17L3KeKFkGIp1R2,44355,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,13530,4252,1740118955.526033,CpfFq042TuXvjHwvof,59525,SF,True,False,0,IIiishIH,24,14786,20,5300,6,283.6140179634,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,562,1740118220.527564,CWxps73hwYjQI68Yr3,59545,SF,True,True,0,Dd,1,86,1,590,17,0.0015649796,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,562,1740119972.586144,CxzrIbLdlDIn3kcU7,37465,SF,True,True,0,Dd,1,86,1,590,17,0.0015649796,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,562,1740119975.921952,CbbTmUyi9QzEEZcpf,48347,SF,True,True,0,Dd,1,86,1,590,17,0.0015649796,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,115,1740118242.994384,CIw8oY3V9yUWKikvM6,39666,SF,True,True,0,Dd,1,86,1,143,17,0.0024600029,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,62,396,1740118632.527205,CwGrrN1kZdWWIQupmk,56612,SF,True,True,0,Dd,1,90,1,424,17,0.0023999214,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,136,1740119675.521169,CBRqMs2G6PaUAru55d,34170,SF,True,True,0,Dd,1,81,1,164,17,0.0040409565,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,136,1740119669.526074,CArpb62oYhfEsMaK52,42696,SF,True,True,0,Dd,1,81,1,164,17,0.0040409565,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,136,1740119905.186111,CbczaE3cBm8yKW9aMc,41180,SF,True,True,0,Dd,1,81,1,164,17,0.0040409565,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,136,1740119720.525301,CsOm9730ygoVxVwutl,33624,SF,True,True,0,Dd,1,81,1,164,17,0.0040409565,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,13.107.136.10,tcp,5821,13473,1740118540.318684,Ch5P1Q2Jfhx2Et1P4h,55602,RSTR,True,False,0,ShADadr,19,6601,23,14405,6,122.1059288979,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,62,271,1740118693.526606,C840lp4r9u4r9RZT27,44906,SF,True,True,0,Dd,1,90,1,299,17,0.0021378994,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,562,1740119120.525367,CBV7Rm1k9Xbim8TF87,58417,SF,True,True,0,Dd,1,86,1,590,17,0.0017518997000000001,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,562,1740118664.854982,Cqb5FG1OjbhbMV7Um9,38333,SF,True,True,0,Dd,1,86,1,590,17,0.0017518997000000001,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,58,418,1740118010.52709,ChXDb83wle8fY8hB4,50255,SF,True,True,0,Dd,1,86,1,446,17,0.0015368462,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,62,396,1740119059.526314,CVo0da4WujmtK50Tcj,33684,SF,True,True,0,Dd,1,90,1,424,17,0.0019600391000000003,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,62,396,1740118876.527804,CQmLHQ1VdwU2vlE7K7,42516,SF,True,True,0,Dd,1,90,1,424,17,0.0017180443,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,62,396,1740119973.719595,CAXvZQ3GqWrILevj6a,35407,SF,True,True,0,Dd,1,90,1,424,17,0.0017180443,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,13.107.138.10,tcp,12371,874506,1740118115.763132,Cxc6bl2IziftnR2J42,52688,SF,True,False,0,ShADadtFf,261,22867,353,888638,6,127.2825767994,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,12371,874506,1740118449.527995,CAEsRNTDWBRb2kmqi,32790,SF,True,False,0,ShADadtFf,261,22867,353,888638,6,127.2825767994,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,12371,874506,1740119886.562029,C3vzYA2is22bWXvZHa,57953,SF,True,False,0,ShADadtFf,261,22867,353,888638,6,127.2825767994,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,12371,874506,1740119855.532364,C1vvIT3SGzXU0PPtIk,55421,SF,True,False,0,ShADadtFf,261,22867,353,888638,6,127.2825767994,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,50,114,1740118664.857283,C4mRnDSPFEXtaJ8g,42041,SF,True,True,0,Dd,1,78,1,142,17,0.0011987686,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,13.107.138.10,udp,50,114,1740118115.921307,CbvjXR2BWniBDcdVHj,54007,SF,True,True,0,Dd,1,78,1,142,17,0.0011987686,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,50,114,1740118388.530689,Cmpq0a3cdHYfKcpdJd,49631,SF,True,True,0,Dd,1,78,1,142,17,0.0011987686,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,40.126.24.149,tcp,2644,4579,1740117962.773772,CXBVLy2t1t7PQj2hZh,46726,RSTR,True,False,0,ShADadFr,11,3104,11,5031,6,121.0885870457,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,62,271,1740119781.509033,Cqj3m8jGkbffD6D93,33658,SF,True,True,0,Dd,1,90,1,299,17,0.0024480820000000003,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,55,198,1740118964.867566,Ct09OQ3D0ERjf8Dgga,52203,SF,True,True,0,Dd,1,83,1,226,17,0.0019359589,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,55,198,1740119884.562291,CHguIr4wLWf2lI2LOb,34816,SF,True,True,0,Dd,1,83,1,226,17,0.0019359589,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,55,198,1740118197.534328,ChOCba2wbpaPVES2x2,60893,SF,True,True,0,Dd,1,83,1,226,17,0.0019359589,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,74,144,1740118415.514903,C7pLfx3sy4nvGiQR6a,35594,SF,True,True,0,Dd,1,102,1,172,17,0.0017368793,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,76,1740117887.962659,CjeCSqZMYCYKGLaH,60660,SF,True,True,0,Dd,1,81,1,104,17,0.0008511543,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,76,1740119242.524003,CRB7qh2plLhkyxmnXg,40008,SF,True,True,0,Dd,1,81,1,104,17,0.0008511543,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,74,144,1740118535.513753,CdTwus1sVVxAgbeL84,58466,SF,True,True,0,Dd,1,102,1,172,17,0.0016391277,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,40.126.24.84,tcp,1,0,1740117907.123507,C2dPdsVNAmv9LSNo1,46874,RSTRH,True,False,0,Aar,1,40,2,80,6,33.6868538857,8af1ef48d3289058,2336755850007c23,HTTPS
443,192.168.1.3,20.189.173.12,tcp,1,0,1740118085.89523,CrYVd04tlgFq38Gk26,53666,RSTRH,True,False,0,Aar,1,40,2,80,6,33.6868538857,8af1ef48d3289058,2336755850007c23,HTTPS
443,192.168.1.3,13.107.42.16,tcp,1,0,1740119512.910812,Covr9y10CRpyTpgiSg,55814,RSTRH,True,False,0,Aar,1,40,2,80,6,33.6868538857,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,62,271,1740117900.58215,CtvZ6c2dt0YtwVElra,52948,SF,True,True,0,Dd,1,90,1,299,17,0.0021090508,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,63,224,1740118955.52304,CDSoU13t9CK9yRQbfb,49815,SF,True,True,0,Dd,1,91,1,252,17,0.0027668476,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,140.82.112.22,udp,63,224,1740117960.65712,CeMe453ld4JI0zwOtf,53122,SF,True,True,0,Dd,1,91,1,252,17,0.0027668476,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,63,224,1740119024.905952,CayB5w364UNnQUCdCa,46903,SF,True,True,0,Dd,1,91,1,252,17,0.0027668476,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,262,1740118835.509262,CWHPdH3IJDs2YJEQ46,34504,SF,True,True,0,Dd,1,81,1,290,17,0.0029029846,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,53,262,1740118964.867385,CqQhcB30jtmpUb4bJ4,41611,SF,True,True,0,Dd,1,81,1,290,17,0.0029029846,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,142.251.16.103,udp,2721,3997,1740119040.893488,CPl09fUdpOhuIZsyb,37499,SF,True,False,0,Dd,6,2889,7,4193,17,0.0285589695,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,74,144,1740118167.508757,CYbL4DuYKFyanzbxg,45014,SF,True,True,0,Dd,1,102,1,172,17,0.0017178059,8af1ef48d3289058,2336755850007c23,DNS
53,192.168.1.3,192.168.1.1,udp,74,144,1740117900.584957,CQwdlIs6e3L173Ev8,50917,SF,True,True,0,Dd,1,102,1,172,17,0.0017178059,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,172.253.115.95,udp,74,144,1740119973.673174,CtHMXn4LW8Bw6t6u8g,57310,SF,True,True,0,Dd,1,102,1,172,17,0.0017178059,8af1ef48d3289058,2336755850007c23,HTTPS
443,192.168.1.3,216.239.38.181,udp,4146,4593,1740117959.427903,CBCDKb7OvgSqxqm0i,44171,SF,True,False,0,Dd,9,4398,12,4929,17,0.0779070854,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,4146,4593,1740118632.530603,CUyhsdmhAXQ0d5znl,55158,SF,True,False,0,Dd,9,4398,12,4929,17,0.0779070854,8af1ef48d3289058,2336755850007c23,DNS
443,192.168.1.3,20.42.65.89,tcp,170297,7509,1740118244.460225,C5KGL22Czmq4i8dNb5,48260,RSTR,True,False,0,ShADadr,74,174153,104,12913,6,157.8986139297,8af1ef48d3289058,2336755850007c23,HTTPS
53,192.168.1.3,192.168.1.1,udp,170297,7509,1740118197.53128,CXGDiD2V5yk56Dhpz,52194,RSTR,True,False,0,ShADadr,74,174153,104,12913,6,157.8986139297,8af1ef48d3289058,2336755850007c23,DNS
