id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,uid,id.orig_p,rtt,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,ts_delta,acks,percent_lost,client_initial_dcid,server_scid,validation_status,trans_depth,method,request_body_len,response_body_len,status_code,status_msg,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,extracted_cutoff,label
443.0,192.168.1.3,13.107.42.16,udp,52.0,112.0,1740119512.925989,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,Covr9y10CRpyTpgiSg,55814.0,0.01956796646118164,S0,False,False,0.0,D,1.0,76.0,0.0,0.0,17.0,0.0,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
443.0,192.168.1.3,13.107.42.16,udp,52.0,112.0,1740118608.221635,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,Covr9y10CRpyTpgiSg,55814.0,0.01956796646118164,S0,False,False,0.0,D,1.0,76.0,0.0,0.0,17.0,0.0,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
443.0,192.168.1.3,13.107.42.16,udp,52.0,112.0,1740119328.346431,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,Covr9y10CRpyTpgiSg,55814.0,0.01956796646118164,S0,False,False,0.0,D,1.0,76.0,0.0,0.0,17.0,0.0,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
443.0,192.168.1.3,13.107.42.16,udp,52.0,112.0,1740118848.320485,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,Covr9y10CRpyTpgiSg,55814.0,0.01956796646118164,S0,False,False,0.0,D,1.0,76.0,0.0,0.0,17.0,0.0,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740119179.512546,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,CNtSpSie0KGl0oJ7g,36141.0,0.01956796646118164,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.016546964645385742,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740119148.337523,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,CNtSpSie0KGl0oJ7g,36141.0,0.01956796646118164,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.016546964645385742,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
443.0,192.168.1.3,142.251.167.103,udp,52.0,112.0,1740118140.131737,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,CqJANC1iiVE3dogpll,48413.0,0.01956796646118164,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.016546964645385742,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
443.0,192.168.1.3,142.251.167.103,udp,52.0,112.0,1740117947.876753,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,CqJANC1iiVE3dogpll,48413.0,0.01956796646118164,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.016546964645385742,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
53.0,192.168.1.3,192.168.1.1,udp,63.0,224.0,1740119195.511556,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,CKSo0QyifHK0bStsb,43175.0,0.01956796646118164,SF,True,True,0.0,Dd,1.0,91.0,1.0,252.0,17.0,0.003863096237182617,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
53.0,192.168.1.3,192.168.1.1,udp,63.0,224.0,1740118938.069138,56887.0,36603049.0,0.0,56889.0,0.0020329952239990234,9.0,5.0,1.0,63.0,50.0,2.0,0.0,0.0,68.0,0.0,0.0,CKSo0QyifHK0bStsb,43175.0,0.01956796646118164,SF,True,True,0.0,Dd,1.0,91.0,1.0,252.0,17.0,0.005897045135498047,900.0021398067474,1913.0,7.475169890224778,7621c9ee35587231,f621c9ee35587231,ok,1.0,GET,0.0,0.0,204.0,No Content,False,1858.0,0.0,0.0,False,False,0
