id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,uid,id.orig_p,rtt,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,ts_delta,acks,percent_lost,client_initial_dcid,server_scid,validation_status,trans_depth,method,request_body_len,response_body_len,status_code,status_msg,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,extracted_cutoff
53,192.168.1.3,192.168.1.1,udp,108,168,1740117947.876753,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CyDgHx3FURxHkSIEV7,50802,0.0167779922,SF,True,True,0,Dd,1,136,1,196,17,0.0016930103,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
53,192.168.1.3,192.168.1.1,udp,108,168,1740118968.328067,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CyDgHx3FURxHkSIEV7,50802,0.0167779922,SF,True,True,0,Dd,1,136,1,196,17,0.0016930103,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
53,192.168.1.3,192.168.1.1,udp,108,168,1740119534.842053,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CyDgHx3FURxHkSIEV7,50802,0.0167779922,SF,True,True,0,Dd,1,136,1,196,17,0.0060100555,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740119423.40559,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CIxzgM373FaXE1g5Ce,51094,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0005168915000000001,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118007.877114,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CIxzgM373FaXE1g5Ce,51094,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0005168915000000001,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118315.587867,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CmwLDPg7j2Sc3CMO2,51196,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0004720688,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740119208.340776,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CmwLDPg7j2Sc3CMO2,51196,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0004720688,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740119808.368789,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CmwLDPg7j2Sc3CMO2,51196,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0004720688,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118791.27659,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CiZbzw2MSQLwhkenr9,52462,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0001728535,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740119328.346431,46546,32641402,0,46545,0.001912117,9,5,0,194,46,0,0,0,0,0,0,CiZbzw2MSQLwhkenr9,52462,0.0167779922,REJ,True,True,0,Sr,1,60,1,40,6,0.0001728535,60.00279212,0,0.0,e66e05fe576deac0adb1fa816be6,e545068f19ba9a27fe6c1bcaec57,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False
