id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
192.168.1.4,60543,192.168.1.1,53,udp,0.003062963,58,139,SF,1,1,0,Dd,1,86,1,167
192.168.1.4,33600,62.149.0.74,443,tcp,0.130275965,0,0,REJ,1,0,0,Sr,1,60,1,40
192.168.1.4,38900,52.202.14.87,443,tcp,186.5182428,2447,6554,SF,1,0,0,ShADadFf,20,3495,19,7550
192.168.1.4,43386,192.168.1.1,53,udp,0.011679173,51,112,SF,1,1,0,Dd,1,79,1,140
192.168.1.6,54054,192.168.1.4,22,SSH,15.082777976989746,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,55333,192.168.1.1,53,udp,0.319682121,61,278,SF,1,1,0,Dd,1,89,1,306
192.168.1.4,59349,31.13.71.36,443,udp,0.043027878,53,442,SF,1,1,0,IIishhhHHh,1,81,1,470
192.168.1.4,41858,192.168.1.1,53,udp,0.002270222,44,438,SF,1,1,0,Dd,1,72,1,466
192.168.1.4,44551,34.111.113.62,443,udp,0.059505939,2737,5601,SF,1,0,0,Dd,5,2877,7,5797
192.168.1.6,39606,192.168.1.4,22,SSH,16.586987018585205,1639,2086,SF,1,1,0,ShADadFf,17,2531,22,3238
192.168.1.4,57835,192.168.1.1,53,udp,240.121619,3264,29173,SF,1,0,0,ShADadFf,34,5040,42,31365
192.168.1.6,51788,192.168.1.4,22,SSH,18.088688850402832,1639,2086,SF,1,1,0,ShADadFf,17,2531,22,3238
192.168.1.6,48180,192.168.1.4,22,SSH,0.000581026,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,60916,192.168.1.1,53,udp,0.003711939,51,112,SF,1,1,0,Dd,1,79,1,140
192.168.1.4,48412,35.186.224.24,443,udp,0.019575834,37,291,SF,1,1,0,Dd,1,65,1,319
192.168.1.4,54078,172.253.115.95,443,udp,0.070907116,65,152,SF,1,1,0,Dd,1,93,1,180
192.168.1.4,56211,192.168.1.1,53,udp,0.001320124,53,103,SF,1,1,0,Dd,1,81,1,131
192.168.1.4,42032,192.168.1.1,53,udp,0.002954006,43,260,SF,1,1,0,Dd,1,71,1,288
192.168.1.4,46725,34.120.202.204,443,udp,0.217415094,4609,8425,SF,1,0,0,IIiishhhHH,11,4917,12,8761
192.168.1.4,35748,172.253.115.95,443,udp,0.008546114,65,126,SF,1,1,0,Dd,1,93,1,154
192.168.1.4,38640,142.251.167.104,443,udp,0.004466057,50,114,SF,1,1,0,IIiiiIhhHhHhH,1,78,1,142
192.168.1.4,58312,192.168.1.1,53,udp,0.089786053,39,401,SF,1,1,0,Dd,1,67,1,429
192.168.1.4,50726,199.38.167.131,443,tcp,62.53779006,3313,7772,SF,1,0,0,ShADadFf,15,4101,13,8456
192.168.1.4,38932,192.168.1.1,53,udp,422.321295,2624,5299,SF,1,0,0,IIiishhhHHhH,25,3908,25,6607
192.168.1.4,45792,192.168.1.1,53,udp,0.00188899,60,126,SF,1,1,0,Dd,1,88,1,154
192.168.1.4,40454,192.168.1.1,53,udp,0.041598797,70,151,SF,1,1,0,Dd,1,98,1,179
192.168.1.4,48784,172.253.122.132,443,udp,1.667602062,4654,9105,SF,1,0,0,Dd,12,4990,13,9469
192.168.1.4,34890,18.238.4.55,443,tcp,240.2181921,2767,12140,SF,1,0,0,ShADadfF,23,3971,27,13552
192.168.1.4,47364,216.200.232.253,443,udp,0.107928991,58,286,SF,1,1,0,IIiiiiIhhHH,1,86,1,314
192.168.1.4,54541,192.168.1.1,53,udp,0.015964031,51,163,SF,1,1,0,Dd,1,79,1,191
192.168.1.6,52362,192.168.1.4,22,SSH,0.000836849,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,49832,150.136.26.45,443,tcp,3.535935879,2503,4975,SF,1,0,0,ShADadFf,16,3343,11,5555
